total_points,MP,GS,A,CS,GC,OG,PM,YC,RC,B,BPS,I,C,T,II,I Form,C Form,T Form,II Form,P Form,Venue,NT,SB,xG,xGA,FDR,total points_1
6,90,0,1,1,0,0,0,0,0,0,25,22.6,40.2,30,9.3,19.8,31.53333333,48.66666667,9.966666667,8,0,57249,1838831,0.8,0.7,1,6
7,90,1,0,1,0,0,0,1,0,0,23,44.4,32.7,55,13.2,27.33333333,39.63333333,50.33333333,11.73333333,5.5,1,48254,1891529,0.1,0.5,4,7
2,84,0,0,0,1,0,0,0,0,0,12,10.8,18.5,86,11.5,37.93333333,37.7,58.33333333,13.4,6.5,0,283380,2229655,1.1,0.3,3,2
14,90,1,1,1,0,0,0,0,0,3,44,50,28.8,48,12.7,25.93333333,30.46666667,57,11.33333333,6.25,0,283380,2229655,0.5,0.1,3,14
16,90,2,0,1,0,0,0,0,0,3,48,80.6,32.5,100,21.3,35.06666667,26.66666667,63,12.46666667,7.25,1,803943,3010184,0.9,1,2,16
3,90,0,0,1,0,0,0,0,0,0,3,7.2,24.7,81,11.3,47.13333333,26.6,78,15.16666667,9.75,0,336144,3339544,0.4,0.1,2,3
7,90,1,0,0,2,0,0,0,0,0,27,47.2,15.3,112,17.5,45.93333333,28.66666667,76.33333333,15.1,8.75,1,-6217,3334641,0.5,0.1,2,7
2,90,0,0,0,3,0,0,0,0,0,5,0,3.3,30,3.3,45,24.16666667,97.66666667,16.7,10,0,23476,3382869,0.1,0,2,2
9,90,1,0,0,1,0,0,0,0,2,35,48,44.8,44,13.7,18.13333333,14.43333333,74.33333333,10.7,7,1,-111721,3224071,0.1,0.2,2,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.73333333,21.13333333,62,11.5,5.25,0,-477866,2755990,0,0,3,0
11,90,1,1,1,0,0,0,0,0,0,34,52,33.1,70,15.5,16,16.03333333,24.66666667,5.666666667,4.5,1,-6516,2802123,0.7,0.4,1,11
2,90,0,0,0,4,0,0,0,0,0,6,8.8,22.8,56,8.8,33.33333333,25.96666667,38,9.733333333,5.5,0,-27888,2756082,0.3,0.1,5,2
6,90,0,1,1,0,0,0,0,0,0,18,23.6,35.3,39,9.8,20.26666667,18.63333333,42,8.1,5.5,1,-31941,2748713,0,0.3,2,6
18,90,2,1,0,1,0,0,0,0,3,47,91.4,24.6,133,24.9,28.13333333,30.4,55,11.36666667,4.75,0,-78275,2658414,1.1,0.1,2,18
2,90,0,0,0,1,0,0,0,0,0,1,16.4,37,73,12.6,41.26666667,27.56666667,76,14.5,9.25,1,81427,2758220,0.9,0.4,2,2
2,82,0,0,0,2,0,0,0,0,0,-3,7.4,3.3,80,9.1,43.8,32.3,81.66666667,15.76666667,7,0,-111419,2609146,0.8,0,4,2
5,78,0,1,0,3,0,0,0,0,0,15,25.6,16.8,53,9.5,38.4,21.63333333,95.33333333,15.53333333,7,1,-69649,2559844,0.6,0.1,4,5
1,26,0,0,0,0,0,0,0,0,0,2,1.6,24,34,6,16.46666667,19.03333333,68.66666667,10.4,6.75,0,-102494,2457006,0.3,0,2,1
20,90,3,0,0,3,0,0,0,0,3,69,117.2,50.1,161,32.8,11.53333333,14.7,55.66666667,8.2,2.5,1,0,1883241,1.9,0.2,2,20
3,90,0,0,1,0,0,0,0,0,0,14,15.4,61.5,51,12.8,48.13333333,30.3,82.66666667,16.1,7,0,156301,2378499,0.3,0.5,4,3
5,90,0,1,0,1,0,0,0,0,0,18,7,27.3,44,7.8,44.73333333,45.2,82,17.2,7.25,1,95854,2576134,0.2,0.5,3,5
13,90,2,0,0,7,0,0,0,0,1,54,78.2,41.8,44,16.4,46.53333333,46.3,85.33333333,17.8,7.25,0,279768,2941545,0.7,0.5,3,13
7,90,1,0,0,2,0,0,0,0,0,24,48.4,20.2,96,16.5,33.53333333,43.53333333,46.33333333,12.33333333,10.25,0,330864,3337859,0.3,0.2,3,7
2,90,0,0,0,1,0,0,0,0,0,-2,8.2,27.2,62,9.7,44.53333333,29.76666667,61.33333333,13.56666667,7,1,138491,3490524,0.7,0.1,2,2
8,89,1,0,0,1,0,0,0,0,1,23,35,16.6,58,11,44.93333333,29.73333333,67.33333333,14.2,6.75,1,-8171,3491118,0.9,0,2,8
9,90,1,0,0,1,0,0,0,0,2,20,40.4,38,35,11.3,30.53333333,21.33333333,72,12.4,7.5,0,-21187,3473894,0.8,0.2,5,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.86666667,27.26666667,51.66666667,10.66666667,6.5,1,-1347561,2049762,0,0,3,0
6,63,0,1,1,0,0,0,0,0,0,11,15.4,14.4,4,3.4,25.13333333,18.2,31,7.433333333,4.75,0,56393,2222608,0.2,0.1,2,6
14,90,1,1,1,0,0,0,0,0,3,43,57,23.2,29,10.9,18.6,17.46666667,13,4.9,5.75,1,66389,2290651,0.3,0.4,2,14
8,83,1,0,0,1,0,0,0,0,1,23,39,2.2,36,7.7,24.13333333,12.53333333,11,4.766666667,7.25,0,382059,2709743,1,0,2,8
7,90,1,0,0,1,0,0,0,0,0,26,50.2,19.3,74,14.4,37.13333333,13.26666667,23,7.333333333,7,1,-49191,2635318,0.5,0.1,4,7
16,33,2,1,0,0,0,0,0,0,2,52,86.6,14.2,26,12.7,48.73333333,14.9,46.33333333,11,8.75,0,264071,2925498,0.3,0.1,2,16
2,90,0,0,0,1,0,0,0,0,0,6,0,21,33,5.3,58.6,11.9,45.33333333,11.6,11.25,1,508149,3477161,0.3,0,2,2
3,90,0,0,1,0,0,0,0,0,0,-5,1.6,3.9,27,3.3,45.6,18.16666667,44.33333333,10.8,8.25,0,79807,3544294,0.6,0,2,3
2,90,0,0,0,1,0,0,0,0,0,-1,4.2,17.1,24,4.5,29.4,13.03333333,28.66666667,7.1,7,0,12437,3563431,0.3,0.1,3,2
3,90,0,0,1,0,0,0,0,0,0,6,7.2,28.4,45,8.1,1.933333333,14,28,4.366666667,5.75,1,89606,3168283,0.2,0,4,3
1,33,0,0,0,1,0,0,0,0,0,2,5.8,14.6,47,6.7,4.333333333,16.46666667,32,5.3,2.5,1,89606,3168283,0.2,0.1,1,1
2,90,0,0,0,1,0,0,0,0,0,12,5,28.8,22,5.6,5.733333333,20.03333333,38.66666667,6.433333333,2.25,0,-142302,2966969,0,0.4,4,2
15,90,2,0,0,1,0,0,0,0,3,47,75,18.1,83,17.6,6,23.93333333,38,6.8,2,0,45974,3022589,0.9,0,2,15
2,90,0,0,0,1,0,0,0,0,0,0,0,15.6,38,5.4,28.6,20.5,50.66666667,9.966666667,5.25,1,610263,3650389,0.5,0,1,2
7,90,1,0,0,4,0,0,0,0,0,28,34.8,4.2,31,7,26.66666667,20.83333333,47.66666667,9.533333333,5,1,-96151,3553316,0.8,0,4,7
7,90,1,0,0,3,0,0,0,0,0,23,38.2,18.9,48,10.5,36.6,12.63333333,50.66666667,10,6.5,0,-151539,3391563,0.3,0.1,3,7
2,90,0,0,0,2,0,0,0,0,0,6,11,16.7,45,7.3,24.33333333,12.9,39,7.633333333,7.75,1,45690,3470984,0.3,0.1,3,2
3,90,0,0,1,0,0,0,0,0,0,10,8.6,19.6,48,7.6,28,13.26666667,41.33333333,8.266666667,4.5,0,-144540,3327142,1.1,0.1,2,3
2,61,0,0,0,1,0,0,0,0,0,10,10.6,15.4,10,3.6,19.26666667,18.4,47,8.466666667,4.75,1,-144540,3327142,0,0,2,2
2,90,0,0,0,1,0,0,0,0,0,-2,0,4.6,62,6.3,10.06666667,17.23333333,34.33333333,6.166666667,3.5,1,-178728,3157978,0.3,0,3,2
3,90,0,0,1,0,0,0,0,0,0,-2,2.2,14.5,34,5.1,6.4,13.2,40,5.833333333,2.25,0,-500304,2659236,0.2,0.1,4,3
8,90,1,0,1,0,0,0,0,0,0,20,35.8,17.4,91,14.4,4.266666667,11.5,35.33333333,5,2.5,0,13576,2363814,0.7,0.4,4,8
7,90,1,0,0,1,0,0,0,0,0,21,36.2,16.8,116,16.9,12.66666667,12.16666667,62.33333333,8.6,3.75,1,167181,2534543,1.3,0,3,7
1,19,0,0,0,1,0,0,0,0,0,2,0,0.3,22,2.2,24.73333333,16.23333333,80.33333333,12.13333333,5,0,49527,2585870,0.3,0,3,1
9,90,1,0,0,1,0,0,0,0,2,24,42.6,38.8,52,13.3,24,11.5,76.33333333,11.16666667,4.75,1,327227,2937549,0.6,0.3,2,9
6,86,0,1,1,0,0,0,0,0,0,16,32.4,31.7,96,16,26.26666667,18.63333333,63.33333333,10.8,6.25,1,83689,2982553,0.8,0.4,2,6
7,90,1,0,0,2,0,0,0,0,0,22,33.2,23.5,55,11.2,25,23.6,56.66666667,10.5,5.75,0,83689,2982553,0.7,0.2,4,7
10,90,1,0,0,1,0,0,0,0,3,31,49.8,45.1,79,17.4,36.06666667,31.33333333,67.66666667,13.5,5.75,0,257608,3247999,0.7,0.3,3,10
3,90,0,0,1,0,0,0,0,0,0,-1,1.2,27.3,40,6.9,38.46666667,33.43333333,76.66666667,14.86666667,8,0,108275,3344939,0.9,0.7,2,3
6,90,0,1,1,0,0,0,0,0,0,7,22.6,27.4,112,16.2,28.06666667,31.96666667,58,11.83333333,6.5,1,244986,3603003,0.6,0.1,2,6
17,90,1,2,1,0,0,0,0,0,3,49,70.6,36.4,70,17.7,24.53333333,33.26666667,77,13.5,6.5,0,0,3548693,0.2,1.2,2,17
3,90,0,0,1,0,0,0,0,0,0,5,6.4,26.1,78,11.1,31.46666667,30.36666667,74,13.6,9,1,227931,4181298,0.3,0.1,2,3
10,90,1,0,0,1,0,0,0,0,3,27,46.8,45.1,48,14,33.2,29.96666667,86.66666667,15,7.25,1,-203411,4031662,1.2,0.3,4,10
8,90,1,0,1,0,0,0,0,0,0,28,47,53.2,77,17.7,41.26666667,35.86666667,65.33333333,14.26666667,9,0,126513,4316524,0.8,0.5,3,8
12,90,1,1,1,0,0,0,1,0,2,29,53,28.9,115,19.7,33.4,41.46666667,67.66666667,14.26666667,9.5,1,121907,4498374,0.5,0,2,12
7,90,1,0,0,3,0,0,0,0,0,19,36.8,14.5,47,9.8,48.93333333,42.4,80,17.13333333,8.25,0,243759,4808143,1.1,0.1,3,7
13,90,1,1,0,2,0,0,0,0,3,47,70.2,30.2,57,15.7,45.6,32.2,79.66666667,15.73333333,9.25,1,96385,4916925,0.2,0.7,4,13
13,90,1,1,1,0,0,0,0,0,2,43,64,30.5,91,18.6,53.33333333,24.53333333,73,15.06666667,10,0,306885,5296809,0.3,0.4,3,13
24,90,3,1,1,0,0,0,0,0,3,76,121.2,33.3,90,24.5,57,25.06666667,65,14.7,11.25,0,247160,5565682,1.4,0.8,3,24
5,90,0,1,0,2,0,0,0,0,0,25,27.6,25.1,51,10.4,85.13333333,31.33333333,79.33333333,19.6,14.25,1,386195,6023450,0.1,0.5,3,5
5,90,0,1,0,3,0,0,0,0,0,16,19.6,25.2,38,8.3,70.93333333,29.63333333,77.33333333,17.83333333,13.75,0,70355,6116608,0.1,0.1,3,5
8,90,1,0,1,0,0,0,0,0,0,23,40,25.1,93,15.8,56.13333333,27.86666667,59.66666667,14.4,11.75,1,46997,6199228,1.2,0.4,3,8
6,90,0,1,1,0,0,0,0,0,0,13,16.8,25.3,61,10.3,29.06666667,25.13333333,60.66666667,11.5,10.5,1,67466,6294628,0.1,0.8,2,6
